SMILES,shift_value,shielding_value
O=C1CCN1C1CCC(C(F)(F)F)CC1,-61.68,275.969
CN1NC(C(F)(F)F)CC1CO,-61.68,283.2623333
FC(F)(F)F,-61.7,264.872
CC1(CC(F)(F)F)CN(C(=O)C2CCNC2=O)C1,-61.7,272.2756667
OC1NCN(-C2CCC(C(F)(F)F)CC2)N1,-61.7,284.6423333
N#CCCN1CCC(C(F)(F)F)N1,-61.71,282.6093333
O=C1[NH]CCN2NC(C(F)(F)F)CC12,-61.71,283.0603333
CC1CC(C(=O)O)C(C(F)(F)F)O1,-61.73,281.9536667
ON1NNC2CCC(C(F)(F)F)CC21,-61.73,282.471
Cl.FC(F)(F)C1CC2N(N1)CCNC2,-61.75,263.5553333
CC1=NN(C2CCC(C(F)(F)F)CN2)C(=O)C1,-61.76,282.67
FC(F)(F)C1CNC(N2CCCO2)C(Cl)C1,-61.78,279.3656667
CC(C(=O)O)N1CCC(C(F)(F)F)N1,-61.81,282.573
O=C(O)C1CCCN2CC(C(F)(F)F)NC21,-61.84,283.9036667
NC(=O)C1(C2CCC(C(F)(F)F)CC2)CC1,-61.86,284.4843333
Cl.NC[C@@H]1C[C@H]1C1CCC(C(F)(F)F)CC1,-61.88,281.0796667
NC1CC(C(F)(F)F)C2CN[NH]C2C1,-61.92,279.3056667
CC(=O)N1CCC(C2CCC(C(F)(F)F)CC2)CC1,-61.92,283.3583333
CC1CC(C(F)(F)F)NN1CCC#N,-61.96,282.7856667
O=C(O)C1CCOC1C(F)(F)F,-61.99,282.2776667
FC(F)(F)C1=CN=CN1,-62.0,265.2923333
FC(F)(F)C1=NC2=CC=CC=C2S1,-62.0,267.5426667
[H]C1=NNC(C(F)(F)F)=C1[H],-62.0,267.5936667
FC(F)(F)C1=CC2=CC=CC=C2C=C1,-62.0,269.376
FC(F)(F)C1=CC=CN=C1,-62.0,269.484
FC(F)(F)C1=CN=CN=C1,-62.0,269.6186667
[H]C1=NOC(C(F)(F)F)=C1[H],-62.0,270.4526667
C#CC1=CC=C(C(F)(F)F)O1,-62.0,270.9633333
O=C(CC(F)(F)F)C1=CC=CC=C1,-62.0,274.7753333
CC1CCC(C(F)(F)F)CC1NC(=O)C1CCCN1,-62.0,279.502
N#CC1CCC(N2CCS(=O)CC2)CC1C(F)(F)F,-62.0,281.1623333
