SMILES,shielding_value,shift_value
FC(F)(F)C1=CC=CC=C1C(F)(F)F,267.4843333,-59.6
[H]C1(C(F)(F)F)CCC(CCCC)CC1,284.457,-75.0
CC1NC(C(F)(F)F)C(C(=O)O)O1,280.0366667,-61.38
O=P(CF)(C1=CC=CC=C1)C1=CC=CC=C1,446.356,-242.0
CC1CC(S(N)(=O)=O)CNC1C(F)(F)F,280.3013333,-65.45
CCCCCCC(F)(F)F,278.7546667,-68.0
N#CC1CCCCC1CN1CCCC(C(F)(F)F)C1=O,273.072,-65.36
[H]C1=NN(C2=CC=CC=C2)C([H])=C1F,368.905,-176.0
FC1=CCCC1,311.813,-125.0
NC(=O)[C@@H]1C[C@@H](F)CN1CC1CCCC2C1CCOC2,373.342,-170.53
CCOC(=O)/C=C/CF,425.578,-224.0
[H]/C(C(=O)O)=C(/[H])C(F)(F)F,275.1873333,-66.0
FC(F)C1NC2C(Cl)CCCC2[NH]1,339.049,-117.08
[H]C1=C(C(F)(F)F)N=C(C2=CC=C(C)C=C2)S1,271.6046667,-61.6
C#CCC(F)(F)F,274.1303333,-64.0
Cl.FC(F)(F)OCC1CCNCC1,267.2086667,-60.24
CCN1CC(NC(=O)N2CCC(C(F)(F)F)CC2)CN1,285.318,-73.63
OC(F)(F)F,263.4623333,-54.0
O=C1CCCCC1F,397.901,-188.0
CCCCCCCC(F)(F)C(=O)OCC,318.0965,-105.0
Cl.FC(F)(F)C1CCC2C(C1)CCN2,266.2063333,-60.9
CC(C)C(=O)CC(F)(F)N=[N+]=[N-],274.8665,-70.0
OCC(F)(F)F,286.217,-78.0
CC(N)C1NNC2C(Cl)CC(C(F)(F)F)CN12.Cl,284.3846667,-62.6
CCCCCCCCC(F)N1C=NC2=C1C=CC=C2,338.916,-136.0
[H]/C(C1=CC=CC=C1)=C(/[H])C(F)(F)F,266.3953333,-58.0
CC(C)(N)C1NC(C(F)(F)F)CC(=O)[NH]1.Cl,273.0746667,-70.47
FC(F)(F)C1=CN=C(Br)C=C1,269.3076667,-63.0
FC1=CC=CC2=C1C1=C(C=CC=C1)O2,312.943,-119.0
CN(C1CCN(C)N1)S(=O)(=O)C1CCC(C(F)F)O1,337.626,-116.89
CC1CC(C(F)(F)F)NC(-N2CCNC2)N1,287.2433333,-69.85
O=C(O)C1SCCC1OC(F)F,291.883,-83.64
CC1CCCNC1NC(=O)C1CCN(C(F)F)N1,300.7155,-95.65
CC1NCN(CC2CCCNC2C(F)(F)F)N1,280.6453333,-63.96
N#CC1CCC(N2CCS(=O)CC2)CC1C(F)(F)F,281.1623333,-62.0
CC1NCC(C(F)(F)F)[NH]1,286.5106667,-62.0
NCC(F)(F)F,282.7033333,-72.0
[H]C([H])=C([H])CC(F)(F)F,275.8423333,-65.0
O=C(CC1C=CCC1)N1CCC(O)(C(F)(F)F)CC1,291.1126667,-84.32
O=C(O)C1NC(C(F)(F)F)N2C1CCCC2,289.3283333,-62.7
O=C1CCC(OC(F)F)C[NH]1,283.1375,-82.88
CC1NCC(C(=O)N[C@H]2CCC[C@H]2F)S1,394.059,-189.0
N=C(C1=CC=CC=C1)C(F)(F)F,274.3926667,-57.0
CC1CC(C(=O)N[C@@H]2CCCC[C@H]2F)ON1,385.811,-176.07
[H]C1=C(C(F)(F)F)N=C(C2=CC=C(C)C=C2)O1,271.91,-62.3
O=C(NC1(CF)CCC1)C1CCNCC1,436.036,-225.01
FC(C1=CC=CC=C1)C(F)C1=CC=CC=C1,406.316,-186.0
FC(F)(Br)SC1=CC=CC=C1,223.0715,-22.0
CC1CNC(CN2CCC[C@@H]2C(F)F)O1,332.325,-125.24
CC(C)N1C(=O)NC2(CCN(CC(F)(F)F)C2)C1=O,280.6543333,-69.45
CN(CC1CCCCC1F)C(=O)C1CSCN1.Cl,332.054,-118.63
[H]C([H])=C(C(=O)C1=CC=CC=C1)C(F)(F)F,264.1183333,-64.0
CC1CCN(C(=O)C2CCC3NNC(C(F)F)N3C2)CC1,343.7515,-119.43
CN1CC(NC2CC(C#N)CCC2C(F)(F)F)CCC1=O,280.136,-63.52
FC(F)C1CCCC1,322.687,-119.0
CCOC(OCC)C(F)F,341.2355,-137.0
FC(Br)Br,277.618,-86.0
CCC(=O)N[C@@H]1CCCC[C@@H]1C(F)(F)F,269.2803333,-69.53
CCCCCCCCCCOC(F)(F)F,266.0043333,-60.0
N#CCCN1CCC(C(F)(F)F)N1,282.6093333,-61.71
[H]C1(C(F)F)CCCCC1,336.3265,-124.0
CCOC(=O)CCF,435.528,-220.0
CC(C)C(F)F,335.3295,-127.0
CCCC(F)(F)F,278.7166667,-68.0
FC(F)(F)C1=C(C2=CC=CC=C2)NC2=CC=CC=C21,260.3763333,-53.0
O=C(NC1(C(F)F)CC1)C1CCCCC1,335.3675,-120.92
CC1NCSC1CN1CCOC(C(F)F)C1,343.041,-130.55
O=C(NCC(F)(F)F)C1CCCC2CCCNC12,282.442,-71.66
CC1NSC(N2CC(CC(F)F)C2)N1,322.9635,-116.9
CCC(F)(F)F,279.8523333,-67.0
O=C1NCCN2CNC(C(F)(F)F)C21,283.4796667,-60.63
O=C(NC1NC(C(F)(F)F)C[NH]1)C1CCCO1,285.1033333,-62.27
FC1=CN=CC2=CC=CC=C12,332.318,-140.0
CCCCC1=C(F)OC2=CC=CC=C21,316.774,-120.0
CC(=O)CC(F)C1=CC=CC=C1,402.283,-174.0
FC(F)(F)C1CCN(CC2CCON2)N1,283.376,-61.64
C[Si](C)(C)C(F)F,348.102,-140.0
[H]C1=C(C(F)(F)F)N=NN1C1=CC=CC=C1,269.5176667,-60.0
CC(F)CCN1CCCC2(CCOCC2)C1,392.773,-171.53
CN1C=CC=C1C(F)(F)S(=O)(=O)C1=CC=CC=C1,303.623,-97.0
CC(O)CC(F)(F)F,274.191,-64.8
CN1CCN(C(=O)CC(F)(F)F)C(CN)C1.Cl,270.061,-62.8
CC1=CC=C(S(=O)(=O)OC(F)(F)F)C=C1,259.4823333,-54.0
O=C(C1CCC(OC(F)(F)F)CC1)N1CCC(O)CC1,265.844,-57.79
O=C(O)C1NC(C(F)(F)F)N2CCCCC12,282.824,-63.13
Cl.NC(C1CCCO1)C(F)(F)F,279.8986667,-75.37
CN(C(=O)C1CCCC(C(F)F)C1)C1CNN(C)C1,335.6165,-110.85
CC(F)CCO,398.663,-173.0
Cl.FC(F)(F)C1CCNC(C2CNC2)N1,274.9876667,-69.84
[H]C1(C(F)(F)F)CCCCC1,285.4636667,-75.0
FC(Cl)(Br)CC1=CC=CC=C1,253.23,-52.0
O=CCCC(F)(F)F,278.309,-66.0
[H]C(=O)C(F)CCCCCCCC,412.346,-199.0
CC(=O)NC1CC(C(F)(F)F)NO1,281.45,-64.09
FC1CCCC1,390.088,-171.0
CCC(F)(F)C1=CC=CC=C1,319.616,-98.0
OC[C@@H]1CC2CCCCC2O[C@H]1C(F)(F)F,281.326,-75.38
CC1NN(C)C2SC(C(=O)NCC(F)(F)F)CC12,282.192,-71.96
FC(F)(F)C1CSC(CN2CCNCC2)N1,282.5966667,-63.96
FC(F)(F)C1CCCN(C2CNCCN2)C1,283.9963333,-71.87
CCCC/C(F)=C/CO,289.572,-106.0
[H]C([H])=C(CCCCCCC)C(F)(F)F,276.9123333,-70.0
CC1CNCC(N2CCCC(C(F)(F)F)C2)N1,275.733,-72.43
