SMILES,shielding_value,shift_value
O=C(O)C1CC(F)CCC1-C1CCOC1,382.194,-116.1
NS(=O)(=O)C1CC2C(CC1F)NC(=O)CC2,383.086,-113.48
N#C[C@H]1CC[C@@H](NC(=O)N2CC(F)C2)C1,385.502,-180.61
FCC(Cl)(Cl)Cl,399.249,-198.0
CC1NC(C(=O)O)C(-C2CCC(F)CC2)S1,381.92,-114.08
NC1CC(CN2CCC[C@@H]2C(F)F)CCN1,337.4615,-124.77
CC(=O)N1CCCC2C(Cl)CCC(F)C21,373.468,-116.55
CC1(F)CCCN(CC2CNCS2)C1,358.992,-147.98
C[C@@H](CO)NC1NCC(Cl)CC1F,388.132,-136.27
FC1=CC(F)=CC(F)=C1,298.2416667,-101.0
CN1CNC(NC(=O)C2CCCCC2F)N1,381.23,-114.65
CCOC(=O)C(F)(F)C1=CC=CO1,313.8475,-103.0
O=C(N[C@@H]1C=C[C@H](CO)C1)C1C(F)CCCC1Cl,385.636,-115.33
CC1CCCC(NC(=O)[C@H]2C[C@@H]2C(F)F)C1,317.6245,-116.74
CN1CCCC1C1COCCN1C(=O)C1CCCC(F)C1,384.994,-111.93
N#CC(NC(=O)C1CCCC(F)C1Cl)C1CC1,403.855,-114.04
O=C(NC1CCCN(C2CCCC(F)C2)C1)C1CCOC1,386.041,-112.39
Cl.OC1(C(F)F)CNC1,349.4915,-134.79
O=C(OCF)C1=CC=CC=C1,385.399,-92.0
CC(=O)NC1CCCN(CC(F)(F)F)C1,282.6596667,-67.86
O=C(C1CNCC(F)C1)N1CCCC2CCCC(Cl)C21,400.5,-124.39
O=C(CS(=O)C1CCCCC1F)N1CCCCC1,385.448,-113.78
CC1NCCC(N2CC(CF)C2)N1,425.792,-227.84
O=C(C1CCC(N2CCOCC2)C(F)C1)N1CCCC1,403.229,-121.98
Cl.N#CC1CCCNC1N1CC(CC(F)F)C1,330.261,-116.53
FC(F)(F)C1=CN=C(Br)C=C1,269.3076667,-63.0
CC1NN(-C2CCCCC2Cl)C(C(F)F)C1C(=O)O,329.2765,-111.53
CN(CC(N)=O)C(=O)C1CC2C(F)CCCC2S1,388.354,-117.36
N#CC(NC1CCC(F)CC1)C1CCCO1,377.998,-123.85
COC1CCN(C2CCCC(C(F)F)C2C#N)CC1,331.2045,-112.37
CCOCC(=O)N1CC2CCCC(F)C2C1,384.894,-118.52
CNC(=O)CC1CCC(C(F)(F)F)CC1,284.4396667,-71.56
N#CC1C(F)CCCC1CN1CCOCC1,382.522,-111.25
CC1NCCC(N(C)CC(F)F)N1,334.003,-122.21
CCC1OC(C(=O)N2CCOC(C(F)F)C2)CC1C,340.4105,-130.7
O=C(NC1CN[NH]C1)C1CCCC(F)C1,390.779,-112.25
O=C1CC(NC(=O)C2CNCC(F)C2)CN1,398.512,-125.1
CC1NOC(C)C1C(=O)N1CCCC2CCC(F)CC21,385.77,-116.02
O=C(NC1CCC(F)CN1)N1CCOC(C2CCCO2)C1,390.529,-133.5
CC1CCC(F)CC1CN1CCN2CCOCC2C1,372.79,-118.21
CC1CC(S(=O)(=O)N(C)C2CCCCN2)CCC1F,393.373,-108.67
CN1C(N)NC2CC(F)CCC21,404.3,-122.6
CC1CCC(NC(=O)[C@H]2C[C@@H]2C(F)F)CN1,332.8075,-116.22
CC1C(C(F)(F)F)N[NH]C1CO,282.0313333,-61.3
CNC(=O)NC1CC(C2CCC(F)C(Cl)C2)C1,383.643,-120.83
CC1CNC(N2CCOC(CF)C2)S1,442.495,-231.81
CC(O)C1CCCCN1CC1CCC(F)CC1C#N,401.055,-111.65
CCOC(=O)C(C)F,402.448,-185.0
O=C(NC1CCCCC1F)N1CCC[C@@H]1CO,394.188,-126.44
CC1CC(OC2CCCC(F)C2C#N)NCN1,382.394,-105.0
CC1CCC(C(=O)N2CC(O)CC2C)CC1F,391.399,-117.38
O=CCCC(F)(F)F,278.309,-66.0
N#CC1CC(F)CCC1NC(=O)N1CCCC1,388.467,-114.63
O=C(CC1CCOC1)N1CCOC(CF)C1,439.286,-232.24
CC1CNC(CNC2CCC(F)CC2)NC1,401.103,-127.13
FC(F)(F)C1CCNN1C1CCCNC1,284.0143333,-61.43
O=C1CCC2CN(S(=O)(=O)C3CCCCC3F)CCN12,383.149,-109.31
CCN1NCNC1CN1CCCC(C)(F)C1,374.278,-147.64
CN1CCNC1NC(=O)C1CCCCC1F,385.396,-115.13
CC1NOCC1CN1C[C@@H](F)C[C@H]1CO,365.663,-167.83
CN(CC1NCNN1C)C1CCCCC1F,405.977,-123.27
FC1CCC2C(C1)CNCCO2,372.627,-119.8
CS(=O)(=O)C1CCCC(C(N)C2CCC(F)CC2)C1,378.452,-115.43
FCCl,372.355,-169.0
CCC1CCC2[NH]C(C(=O)O)CC2C1F,398.426,-128.96
CC1CC(O)NC(C(F)(F)F)N1,290.2586667,-71.09
Cl.O=C(NC1CNN(-C2CCCCC2)C1)[C@H]1C[C@H](F)CN1,384.67,-176.04
O=C(NCC(F)(F)F)C1=CC=CC=C1,282.2073333,-71.0
Cl.O=C(O)CC1CN2CC(F)CCC2N1,394.963,-137.38
CC1NC2CC(F)CCC2CC1C(=O)NCC1CC1,379.671,-106.9
O=C(CC1CCON1)NC1CNCC(F)C1,379.605,-125.01
COC(=O)C(F)(F)C1=CC=CC=C1,319.5755,-104.3
O=S(=O)(C1=CC=CC=C1)C(F)(F)C1=CC=CO1,308.719,-102.0
NC(=O)C1CNN(-C2CCCC(C(F)(F)F)C2)C1N,284.359,-62.55
FC1CCC1,368.293,-160.0
C[Si](C)(C)F,366.865,-158.0
CC(C)(O)C1CCCN1C1CCC(C(F)(F)F)CN1,283.8543333,-60.85
CC1CC(NCC2NCCN2C)CCC1F,392.369,-131.32
CC1CCCN(C(=O)CNC(=O)C2CCCCC2F)C1,389.936,-114.52
CC1NCC(C(F)(F)F)[NH]1,286.5106667,-62.0
OC1NCN(-C2CCC(C(F)(F)F)CC2)N1,284.6423333,-61.7
FC(F)(F)C1=NCCO1,277.3976667,-70.0
CC1(CC(F)(F)F)CN(C(=O)C2CCNC2=O)C1,272.2756667,-61.7
O=C1CC2C(Cl)CCC(F)C2N1,393.767,-135.55
CCN(CCF)C1=CC=CC=C1,433.776,-193.0
NC(=O)[C@@H]1C[C@@H](F)CN1CC1CCCC2C1CCOC2,373.342,-170.53
CCC(CC)CF,443.949,-226.0
FC1(F)CCCCCCC1,288.7265,-91.5
O=C(NC1CCC(F)CN1)C1=CCOCC1,377.914,-130.96
CC1CCC(C(=O)NCC2(O)CCOCC2)CC1F,391.895,-116.9
C/C=C/F,318.154,-128.0
O=C1NC(=O)C2(CCN(C(=O)C3CCCC(F)C3)CC2)N1,381.618,-112.07
[H]C1=C(F)OC(F)=C1[H],319.926,-123.0
N#CC1CC(F)CCC1NC(=O)N1CCOCC1,375.366,-114.34
O=C(CN1CCNC1)NC1CCCC(F)C1,390.296,-112.03
O=C1CC(C(F)(F)F)=NC2CCCCC2N1,282.0773333,-73.42
