SMILES,shift_value,split
N#CC1CCC(CN2NC(C(F)(F)F)CCC2=O)CC1,-67.18,Train
CN(C1=CC=CC=C1)C(F)(F)F,-60.0,Train
FC1=CNC2=CC=CC=C12,-175.0,Train
FC(F)C1=CSC=C1,-108.0,Train
CCOC(=O)CC(=O)C(F)(F)F,-75.0,Train
CC1(CC(F)(F)F)CN(C(=O)NC2CCCCN2)C1,-61.57,Train
CC1NCCC(N2CCCC(F)C2)N1,-184.23,Train
NC1CC(C(F)(F)F)NCN1,-70.64,Train
O=C(C1CCSN1)N1CCC(CF)CC1,-223.36,Train
CC1CCCC(F)C1NCC(=O)N1CCOCC1,-139.91,Train
FC(F)Cl,-73.0,Train
NC1CCC2C(C1)CCC(=O)N2CC(F)F,-121.67,Train
FC1=CC=NC2=CC=CC=C12,-113.0,Train
[H]C(=O)C(C)C(F)(F)F,-68.0,Train
F/C(Cl)=C/C1=CC=C(I)C=C1,-73.0,Train
CCCCCCCCC1=NC2=CC=CC=C2C(C(F)(F)F)=C1,-63.0,Train
F/C=C/COCC1=CC=CC=C1,-125.0,Train
FC(F)(F)/C(=N/C1=CC=CC=C1)C1=CC=CC=C1,-70.0,Train
CC(=O)C(F)(F)C(=O)C1=CC=CC=C1,-109.0,Train
CCC1NCNC(N2CCCC2C2CCCO2)C1F,-150.49,Train
FC(F)(F)SC1=CC=CC=C1,-43.0,Train
FC(F)SCC1=CC=CC=C1,-94.0,Train
O=C(O)C1SCNC1C(F)F,-114.24,Train
FC(F)(F)C1=CC=CC=C1C(F)(F)F,-59.6,Train
[H]C1(C(F)(F)F)CCC(CCCC)CC1,-75.0,Train
CC1NC(C(F)(F)F)C(C(=O)O)O1,-61.38,Train
O=P(CF)(C1=CC=CC=C1)C1=CC=CC=C1,-242.0,Train
CC1CC(S(N)(=O)=O)CNC1C(F)(F)F,-65.45,Train
CCCCCCC(F)(F)F,-68.0,Train
N#CC1CCCCC1CN1CCCC(C(F)(F)F)C1=O,-65.36,Train
[H]C1=NN(C2=CC=CC=C2)C([H])=C1F,-176.0,Train
FC1=CCCC1,-125.0,Train
NC(=O)[C@@H]1C[C@@H](F)CN1CC1CCCC2C1CCOC2,-170.53,Train
CCOC(=O)/C=C/CF,-224.0,Train
[H]/C(C(=O)O)=C(/[H])C(F)(F)F,-66.0,Train
FC(F)C1NC2C(Cl)CCCC2[NH]1,-117.08,Train
[H]C1=C(C(F)(F)F)N=C(C2=CC=C(C)C=C2)S1,-61.6,Train
C#CCC(F)(F)F,-64.0,Train
Cl.FC(F)(F)OCC1CCNCC1,-60.24,Train
CCN1CC(NC(=O)N2CCC(C(F)(F)F)CC2)CN1,-73.63,Train
OC(F)(F)F,-54.0,Train
O=C1CCCCC1F,-188.0,Train
CCCCCCCC(F)(F)C(=O)OCC,-105.0,Train
Cl.FC(F)(F)C1CCC2C(C1)CCN2,-60.9,Train
CC(C)C(=O)CC(F)(F)N=[N+]=[N-],-70.0,Train
OCC(F)(F)F,-78.0,Train
CC(N)C1NNC2C(Cl)CC(C(F)(F)F)CN12.Cl,-62.6,Train
CCCCCCCCC(F)N1C=NC2=C1C=CC=C2,-136.0,Train
[H]/C(C1=CC=CC=C1)=C(/[H])C(F)(F)F,-58.0,Train
CC(C)(N)C1NC(C(F)(F)F)CC(=O)[NH]1.Cl,-70.47,Train
FC(F)(F)C1=CN=C(Br)C=C1,-63.0,Train
FC1=CC=CC2=C1C1=C(C=CC=C1)O2,-119.0,Train
CN(C1CCN(C)N1)S(=O)(=O)C1CCC(C(F)F)O1,-116.89,Train
CC1CC(C(F)(F)F)NC(-N2CCNC2)N1,-69.85,Train
O=C(O)C1SCCC1OC(F)F,-83.64,Train
CC1CCCNC1NC(=O)C1CCN(C(F)F)N1,-95.65,Train
CC1NCN(CC2CCCNC2C(F)(F)F)N1,-63.96,Train
N#CC1CCC(N2CCS(=O)CC2)CC1C(F)(F)F,-62.0,Train
CC1NCC(C(F)(F)F)[NH]1,-62.0,Train
NCC(F)(F)F,-72.0,Train
[H]C([H])=C([H])CC(F)(F)F,-65.0,Train
O=C(CC1C=CCC1)N1CCC(O)(C(F)(F)F)CC1,-84.32,Train
O=C(O)C1NC(C(F)(F)F)N2C1CCCC2,-62.7,Train
O=C1CCC(OC(F)F)C[NH]1,-82.88,Train
CC1NCC(C(=O)N[C@H]2CCC[C@H]2F)S1,-189.0,Train
N=C(C1=CC=CC=C1)C(F)(F)F,-57.0,Train
CC1CC(C(=O)N[C@@H]2CCCC[C@H]2F)ON1,-176.07,Train
[H]C1=C(C(F)(F)F)N=C(C2=CC=C(C)C=C2)O1,-62.3,Train
O=C(NC1(CF)CCC1)C1CCNCC1,-225.01,Train
FC(C1=CC=CC=C1)C(F)C1=CC=CC=C1,-186.0,Train
FC(F)(Br)SC1=CC=CC=C1,-22.0,Train
CC1CNC(CN2CCC[C@@H]2C(F)F)O1,-125.24,Train
CC(C)N1C(=O)NC2(CCN(CC(F)(F)F)C2)C1=O,-69.45,Train
CN(CC1CCCCC1F)C(=O)C1CSCN1.Cl,-118.63,Train
[H]C([H])=C(C(=O)C1=CC=CC=C1)C(F)(F)F,-64.0,Train
CC1CCN(C(=O)C2CCC3NNC(C(F)F)N3C2)CC1,-119.43,Train
CN1CC(NC2CC(C#N)CCC2C(F)(F)F)CCC1=O,-63.52,Train
FC(F)C1CCCC1,-119.0,Train
CCOC(OCC)C(F)F,-137.0,Train
FC(Br)Br,-86.0,Train
CCC(=O)N[C@@H]1CCCC[C@@H]1C(F)(F)F,-69.53,Train
CCCCCCCCCCOC(F)(F)F,-60.0,Train
N#CCCN1CCC(C(F)(F)F)N1,-61.71,Train
[H]C1(C(F)F)CCCCC1,-124.0,Train
CCOC(=O)CCF,-220.0,Train
CC(C)C(F)F,-127.0,Train
CCCC(F)(F)F,-68.0,Train
FC(F)(F)C1=C(C2=CC=CC=C2)NC2=CC=CC=C21,-53.0,Train
O=C(NC1(C(F)F)CC1)C1CCCCC1,-120.92,Train
CC1NCSC1CN1CCOC(C(F)F)C1,-130.55,Train
O=C(NCC(F)(F)F)C1CCCC2CCCNC12,-71.66,Train
CC1NSC(N2CC(CC(F)F)C2)N1,-116.9,Train
CCC(F)(F)F,-67.0,Train
O=C1NCCN2CNC(C(F)(F)F)C21,-60.63,Train
O=C(NC1NC(C(F)(F)F)C[NH]1)C1CCCO1,-62.27,Train
FC1=CN=CC2=CC=CC=C12,-140.0,Train
CCCCC1=C(F)OC2=CC=CC=C21,-120.0,Train
CC(=O)CC(F)C1=CC=CC=C1,-174.0,Train
FC(F)(F)C1CCN(CC2CCON2)N1,-61.64,Train
C[Si](C)(C)C(F)F,-140.0,Train
