SMILES,shift_value,split
[H]C1=C(C(F)F)ON=C1C1=CC=CC=C1,-119.0,Train
O=C(C1CC1)N1CCOC2CCC(F)CC21,-122.36,Train
CCCC/N=C(/C1=CC=CC=C1)C(F)(F)F,-72.0,Train
O=[N+]([O-])C(F)(F)F,-74.0,Train
O=C(NC1CCC(Cl)CC1F)C1CCCO1,-120.81,Train
CN1CCN(C(=O)CC(F)(F)F)C(CN)C1.Cl,-62.8,Train
CC1CCC(F)C(S(=O)(=O)NC2CCCC(C)N2)C1,-116.51,Train
CC(C(=O)N1CCCC[C@@H]1C(=O)O)C1CCCCC1F,-118.6,Train
O=C(CC1CCCCC1C(F)(F)F)N1CCCNCC1,-59.95,Train
CC1(C)CN(C(=O)C2CCNCC2)CCC1C(F)(F)F,-64.62,Train
[H]/C(C(=O)CC)=C(/F)CCCC,-78.0,Train
N#CCCCS(=O)(=O)N1CCC2CCC(F)CC21,-114.69,Train
CC1(C)COCCN1CC1COC(-C2CCCC(F)C2)N1,-112.3,Train
CCCCCCCCCCCCSCF,-184.0,Train
CN(CC1CCC(F)CC1)C(=O)C1CCC1,-115.78,Train
O=S1(=O)CCC[C@@]2(C(F)(F)F)CNC[C@H]21,-73.25,Train
FC1(F)CCCC1,-93.3,Train
CC(=O)N1CCOC2CCC(C(F)(F)F)CC21,-61.35,Train
CC1CCC(F)C(C(=O)NC2NNC(C3CC3)N2C)C1,-119.29,Train
FC1=NC=CN=C1,-80.0,Train
CC1CC(NCC2CCC(F)CC2C)NO1,-116.6,Train
CC12CCC(=O)N1C(C(=O)NCC(F)(F)F)CS2,-71.99,Train
O=C(O)C1CCN(CCF)N1,-222.27,Train
CN(CC1CCCO1)C(=O)NC1CCCCC1F,-124.5,Train
[H]C1=C(C(F)(F)F)N=NN1C1=CC=CC=C1,-60.0,Train
FC(F)(F)C1=CN=CN1,-62.0,Train
FC1CCCC(Cl)C1CN1CCNC1,-113.9,Train
O=C(O)C1CCOC1C(F)(F)F,-61.99,Train
O=C(C1CCCCC1F)N1CCN(C2NCCS2)CC1,-116.87,Train
CC1CCN(C(=O)CNC2CCC(F)CC2)CC1,-126.93,Train
O=C(NCC1CCCCC1F)NC1CCC2NCNN2C1,-119.81,Train
C[C@@H]1COCCN1CC1CCNCC1F,-129.95,Train
CCCCCCCC(F)(F)[N+](=O)[O-],-87.0,Train
FC1=CN=CC(F)=C1,-124.0,Train
CN(C(=O)CC(F)(F)F)C1CCC2C(C1)OCO2,-62.5,Train
CNC(=O)NC1CCC(C(F)(F)F)NC1,-66.35,Train
CC1NN(CC(F)F)CC1C(=O)O,-123.95,Train
CCN1CC(NC(=O)N2CCC(C(F)(F)F)CC2)CN1,-73.63,Train
O=C(C1=CC=CC=C1)C(F)C1=CC=CC=C1,-99.0,Train
CC1(F)CC(NC(=O)C2CCCS2)C1,-136.72,Train
FC(F)(F)C1NCC[NH]1,-63.2,Train
CC1CN(C(N)=O)CCN1CC(F)(F)F,-68.55,Train
CC1CCC(CNC(=O)C2CCOC2C)CC1F,-117.99,Train
FC1CNC(N2C[C@@H]3C[C@H]2CS3)NC1,-156.52,Train
O=C(CC1C=CCC1)N1CCC(O)(C(F)(F)F)CC1,-84.32,Train
O=C(NC1CCCC(F)C1)C1(O)CCOC1,-112.26,Train
O=C(NC1CCN(C(=O)C2CC2)CC1)C1CCC(F)CC1,-108.24,Train
CC1CC(CN2CCC[C@@H]2C(F)F)ON1,-124.63,Train
COCC(=O)NC1CC2C(CC1F)CCC(=O)N2,-131.6,Train
CN1CC(N)C(C(F)(F)F)N1,-60.66,Train
CC(C)(C)C(F)F,-129.0,Train
N#CC(F)F,-60.0,Train
CCC(F)C(=O)N(C)C,-187.0,Train
OC/C=C(/F)C1=CC=CC=C1,-98.0,Train
CC1CC(C(=O)NC2CC(C(N)=O)N(C)C2)CCC1F,-110.51,Train
O=C(O)C1CC(F)CCC1-C1CCOC1,-116.1,Train
NS(=O)(=O)C1CC2C(CC1F)NC(=O)CC2,-113.48,Train
N#C[C@H]1CC[C@@H](NC(=O)N2CC(F)C2)C1,-180.61,Train
FCC(Cl)(Cl)Cl,-198.0,Train
CC1NC(C(=O)O)C(-C2CCC(F)CC2)S1,-114.08,Train
NC1CC(CN2CCC[C@@H]2C(F)F)CCN1,-124.77,Train
CC(=O)N1CCCC2C(Cl)CCC(F)C21,-116.55,Train
CC1(F)CCCN(CC2CNCS2)C1,-147.98,Train
C[C@@H](CO)NC1NCC(Cl)CC1F,-136.27,Train
FC1=CC(F)=CC(F)=C1,-101.0,Train
CN1CNC(NC(=O)C2CCCCC2F)N1,-114.65,Train
CCOC(=O)C(F)(F)C1=CC=CO1,-103.0,Train
O=C(N[C@@H]1C=C[C@H](CO)C1)C1C(F)CCCC1Cl,-115.33,Train
CC1CCCC(NC(=O)[C@H]2C[C@@H]2C(F)F)C1,-116.74,Train
CN1CCCC1C1COCCN1C(=O)C1CCCC(F)C1,-111.93,Train
N#CC(NC(=O)C1CCCC(F)C1Cl)C1CC1,-114.04,Train
O=C(NC1CCCN(C2CCCC(F)C2)C1)C1CCOC1,-112.39,Train
Cl.OC1(C(F)F)CNC1,-134.79,Train
O=C(OCF)C1=CC=CC=C1,-92.0,Train
CC(=O)NC1CCCN(CC(F)(F)F)C1,-67.86,Train
O=C(C1CNCC(F)C1)N1CCCC2CCCC(Cl)C21,-124.39,Train
O=C(CS(=O)C1CCCCC1F)N1CCCCC1,-113.78,Train
CC1NCCC(N2CC(CF)C2)N1,-227.84,Train
O=C(C1CCC(N2CCOCC2)C(F)C1)N1CCCC1,-121.98,Train
Cl.N#CC1CCCNC1N1CC(CC(F)F)C1,-116.53,Train
FC(F)(F)C1=CN=C(Br)C=C1,-63.0,Train
CC1NN(-C2CCCCC2Cl)C(C(F)F)C1C(=O)O,-111.53,Train
CN(CC(N)=O)C(=O)C1CC2C(F)CCCC2S1,-117.36,Train
N#CC(NC1CCC(F)CC1)C1CCCO1,-123.85,Train
COC1CCN(C2CCCC(C(F)F)C2C#N)CC1,-112.37,Train
CCOCC(=O)N1CC2CCCC(F)C2C1,-118.52,Train
CNC(=O)CC1CCC(C(F)(F)F)CC1,-71.56,Train
N#CC1C(F)CCCC1CN1CCOCC1,-111.25,Train
CC1NCCC(N(C)CC(F)F)N1,-122.21,Train
CCC1OC(C(=O)N2CCOC(C(F)F)C2)CC1C,-130.7,Train
O=C(NC1CN[NH]C1)C1CCCC(F)C1,-112.25,Train
O=C1CC(NC(=O)C2CNCC(F)C2)CN1,-125.1,Train
CC1NOC(C)C1C(=O)N1CCCC2CCC(F)CC21,-116.02,Train
O=C(NC1CCC(F)CN1)N1CCOC(C2CCCO2)C1,-133.5,Train
CC1CCC(F)CC1CN1CCN2CCOCC2C1,-118.21,Train
CC1CC(S(=O)(=O)N(C)C2CCCCN2)CCC1F,-108.67,Train
CN1C(N)NC2CC(F)CCC21,-122.6,Train
CC1CCC(NC(=O)[C@H]2C[C@@H]2C(F)F)CN1,-116.22,Train
CC1C(C(F)(F)F)N[NH]C1CO,-61.3,Train
CNC(=O)NC1CC(C2CCC(F)C(Cl)C2)C1,-120.83,Train
CC1CNC(N2CCOC(CF)C2)S1,-231.81,Train
