SMILES,shift_value,shielding_value,recomputed_shielding_value,delta_sigma
COCC1CCN1C(=O)C1CCC(F)CC1,-108.37,398.634,398.43873177173,-0.1952682282700379
FC1CCC2CCCNC2C1Cl,-108.59,393.833,400.1380932828884,6.305093282888379
CC1CC(S(=O)(=O)N(C)C2CCCCN2)CCC1F,-108.67,393.373,399.7868926441946,6.413892644194618
O=C(C1CCC(F)CC1Cl)N1CCCNCC1,-108.69,391.327,400.6365632083231,9.309563208323084
CCCN1CCC(C2NOC3CC(F)CCC23)CC1,-108.71,398.877,397.7854043506888,-1.0915956493112162
O=C(NC1CCCCC1O)C1CCC(F)CC1Cl,-108.79,388.362,392.729920971713,4.3679209717129766
N#CC1CCC(F)C(CNC(=O)NC2CCCCC2O)C1,-108.79,392.826,396.2131116291084,3.387111629108404
CN(C)CC1CCCN1S(=O)(=O)C1CCCCC1F,-108.84,382.916,382.9888061792728,0.0728061792727885
CO[C@H]1C[C@@H](CO)N(C(=O)C2CCC(F)CC2Cl)C1,-108.89,394.587,387.81812892925,-6.768871070750038
CC(C)C1NC(=O)N(CC2CCC(F)C(C#N)C2)C1=O,-108.92,393.493,388.3204925196964,-5.17250748030358
FC1CCC(-C2NC(CN3CCSCC3)CO2)CC1,-108.94,378.196,386.1527756205904,7.956775620590349
CC1CCC(S(=O)(=O)N2CCCO2)C(F)C1,-108.94,380.922,395.9966924737024,15.074692473702328
[H]/C(C1=CC=CC=C1)=C(/F)CO,-109.0,283.32,284.8755838708579,1.5555838708579015
CC1CC(S(=O)(=O)N2CCCC2)CCC1F,-109.13,394.288,391.2550261401596,-3.0329738598404106
CN(CC1CCCO1)S(=O)(=O)C1CCCCC1F,-109.29,407.526,398.389223398744,-9.136776601256033
O=C1CCC2CN(S(=O)(=O)C3CCCCC3F)CCN12,-109.31,383.149,402.4667039356094,19.317703935609416
CCN(C1CCNCC1)S(=O)(=O)C1CCCCC1F,-109.56,381.709,391.3028041881007,9.593804188100703
