SMILES,shift_value,shielding_value,recomputed_shielding_value,delta_sigma
CC1NC(N)N(-C2CCC(F)CC2C)N1,-111.17,377.837,386.419,8.581999999999994
CC1NC(C(=O)N2CCCC2)NN1-C1CCC(F)CC1,-111.2,380.817,398.608,17.790999999999997
NC(=O)C1CCCCC1NC(=O)C1CCC(F)C(Cl)C1,-111.21,380.141,388.011,7.870000000000003
O=S(=O)(NC1CCCNC1)C1CCCCC1F,-111.21,382.336,404.445,22.10899999999998
N[C@H]1CCN(C(=O)C2CCN(-C3CCCC(F)C3)N2)C1,-111.23,380.123,387.85,7.727000000000032
N#CC1C(F)CCCC1CN1CCOCC1,-111.25,382.522,382.522,0.0
CNC(=O)C1NC(C)N(-C2CCC(F)CC2)N1,-111.25,384.625,399.683,15.057999999999993
NC1NC(-C2CCC(F)CC2)N[NH]1,-111.26,400.586,400.586,0.0
O=S(=O)(NC1CCCC1)C1CCCCC1F,-111.33,398.234,384.004,-14.22999999999996
CC1CC(F)CC(S(=O)(=O)N2CCCC2)C1,-111.35,395.939,389.921,-6.018000000000029
CC1CCN(S(=O)(=O)C2CC(CO)CCC2F)CC1,-111.38,384.4,381.114,-3.2860000000000014
O=C(C1CCCO1)N1CCCSC2CCC(F)CC21,-111.43,376.35,388.742,12.391999999999996
N#CCCN1NC(-C2CCC(F)CC2)CCC1=O,-111.43,399.943,400.181,0.2379999999999995
CC1CCCN1C(=O)CN1CNC2CCC(F)CC2C1=O,-111.44,392.166,403.632,11.466000000000008
CC1CC(F)CC(S(=O)(=O)NC2(C)CC2)C1,-111.47,378.675,392.957,14.281999999999982
O=C(NCC1NCCCN1)C1CCC(Cl)CC1F,-111.51,387.959,392.68,4.721000000000004
COC1CC(F)CC(NC(=O)N2CCOCC2)C1,-111.57,393.832,393.832,0.0
CC1NSCC1C(=O)N(C)C1CCCC(F)C1,-111.63,378.016,397.123,19.10699999999997
N#CC1CC(F)CCC1CN1CNC(C2CCC2)CC1=O,-111.64,401.44,392.216,-9.22399999999999
CC(O)C1CCCCN1CC1CCC(F)CC1C#N,-111.65,401.055,391.042,-10.013000000000034
CC1CC(NC(=O)NC2CC2)NN1-C1CCCC(F)C1,-111.68,384.574,397.447,12.87299999999999
Cl.O=C1CNCCN1C1CCCC(F)C1,-111.69,381.415,381.415,0.0
COC1CC(F)CC(CN2CC[C@@H](O)C2)C1,-111.7,392.19,394.341,2.1510000000000105
CC1CCOCCN1C(=O)C(=O)NC1CCCC(F)C1,-111.71,398.704,397.469,-1.2350000000000136
CN1NCCC1C(=O)N1CCNCC1C1CCCC(F)C1,-111.72,378.877,384.386,5.509000000000015
O=S(=O)(NCC1CCCO1)C1CCCCC1F,-111.74,381.333,389.517,8.183999999999969
CCN1CCCN(C(=O)C(=O)NC2CCCC(F)C2)CC1,-111.74,381.944,398.363,16.418999999999983
CN1CCC(OC2CCCC(F)C2)C1=O,-111.74,390.966,398.099,7.132999999999981
Cl.FC1CCCC(OC2CCNCC2)C1,-111.76,388.125,388.125,0.0
CC1CC(F)CCC1C(=O)N1CCC(C)S(=O)(=O)CC1,-111.77,367.316,385.415,18.099000000000046
CCC1NNSC1C(=O)NC1CCCC(F)C1,-111.77,371.169,384.598,13.42900000000003
CN1CN(C(=O)C2CCCC(F)C2)CC1=O,-111.77,398.428,398.428,0.0
O=C(NC1CCCC1)C1CC(F)CCC1-N1CCNC1,-111.78,392.315,376.428,-15.887
CC1N[NH]C(=O)C(C(=O)NC2CCCC(F)C2)C1C,-111.81,378.323,398.391,20.06800000000004
FC1CCC2NCNC(NC3CC3)C2C1,-111.85,379.543,395.516,15.973000000000011
CCN1CCC(N(C)C(=O)C2CCCC(F)C2)CC1,-111.86,388.35,398.236,9.885999999999967
CC1CCN(C(=O)COC2CCCC(F)C2)CC1,-111.86,389.152,387.165,-1.9869999999999663
O=C(NC1CC(F)CCC1-N1CCCN1)N1CCCC1,-111.86,390.251,390.044,-0.2069999999999936
CC1CC(C(=O)NCC2N[NH]C(=O)[NH]2)CCC1F,-111.89,392.219,413.021,20.80200000000002
CN1CCCC1C1COCCN1C(=O)C1CCCC(F)C1,-111.93,384.994,386.262,1.2679999999999725
CCN(C1CCCC(F)C1)S(=O)(=O)C1CN[NH]C1,-111.94,381.404,393.774,12.370000000000005
O=C(O)C1CCC(=O)N(C2CCCC(F)C2)C1,-111.96,397.934,397.934,0.0
CC1NN(-C2CCC(F)CC2)C(N)C1C#N,-111.97,388.293,388.159,-0.1340000000000145
COC1NCCCC1C(=O)NC1CCCC(F)C1,-111.99,377.991,388.953,10.961999999999987
[H]/C(F)=C(/[H])C(=O)OCCCCCCCCCCCC,-112.0,287.485,288.205,0.7199999999999704
CCCCCCC(F)SC,-112.0,365.221,384.2,18.978999999999985
CNS(=O)(=O)C1CCC(C(=O)NC2CCCC(F)C2)O1,-112.01,368.195,378.932,10.737000000000023
CCN1CC(NC(=O)C2CCC(Cl)CC2F)CCC1=O,-112.02,389.366,377.645,-11.721000000000004
OC1CCNC(-C2CCCC(F)C2)C1,-112.03,380.519,397.518,16.998999999999967
O=C(CN1CCNC1)NC1CCCC(F)C1,-112.03,390.296,397.608,7.312000000000012
O=C(C1CCCC(F)C1)N1CCN(C(=O)C2CC2)CC1,-112.05,371.292,397.517,26.225000000000023
NC(=O)C1CCC(-C2CCC(F)CC2)O1,-112.05,398.925,385.15,-13.775000000000034
O=C1NC(=O)C2(CCN(C(=O)C3CCCC(F)C3)CC2)N1,-112.07,381.618,383.665,2.047000000000025
CC(=O)N1CSCC1C(=O)NC1CCCC(F)C1,-112.07,381.824,390.559,8.735000000000014
CC1CCC(S(=O)(=O)N[C@@H]2CCCC[C@H]2N)C(F)C1.Cl,-112.08,360.864,381.939,21.075000000000045
CC1OCCC1C(=O)NC1CCC(C(=O)O)C(F)C1,-112.09,388.584,393.439,4.855000000000018
FC1CCC(C2CN(CC3CCON3)CCO2)C(Cl)C1,-112.09,390.666,397.383,6.7169999999999845
CCN(C)C1CCCN(C2CCCC(F)C2)C1=O,-112.09,399.703,397.909,-1.7939999999999827
CN(CC1CCCO1)C(=O)C1CCCC(F)C1,-112.1,378.369,397.41,19.041
NC(=O)C1CC2CCCCC2CN1CC1CCCC(F)C1,-112.1,382.424,380.87,-1.5539999999999736
O=C1CN(C(=O)C2(C3CCCC(F)C3)CCC2)CCN1,-112.14,380.151,398.144,17.992999999999995
O=C1CN(C(=O)C2CC(-C3CCCC(F)C3)NO2)CCN1,-112.15,381.229,387.254,6.025000000000034
O=C(NC1CCCC(F)C1)[C@H]1CNCCO1,-112.18,378.792,389.619,10.827000000000057
CC1CC(C(=O)NC2CCNCC2C)CCC1F,-112.19,388.102,391.487,3.385000000000048
CNC(=O)C1(C2CCCCC2F)CCCC1,-112.21,389.76,397.973,8.213000000000022
Cl.FC1CCCC(C2COCCN2)C1,-112.25,373.787,399.767,25.980000000000015
O=C(NC1CN[NH]C1)C1CCCC(F)C1,-112.25,390.779,398.147,7.367999999999995
O=C(NC1CCCC(F)C1)C1(O)CCOC1,-112.26,386.044,391.41,5.366000000000042
CN1CCC(NC(=O)C2CCC(Cl)CC2F)N1,-112.28,385.656,390.967,5.310999999999979
O=C1CN(C2CCCC2)C(=O)N1C1CCC(F)CC1,-112.28,388.829,388.829,0.0
CC1(C)COCCN1C(=O)C1CCCC(F)C1,-112.29,388.132,398.082,9.949999999999989
O=C(NCC1CCC2C(C1)OCO2)C1CCCC(F)C1,-112.29,390.286,380.176,-10.110000000000014
CC1(C)COCCN1CC1COC(-C2CCCC(F)C2)N1,-112.3,384.643,386.394,1.7510000000000332
O=C1NCCC1OC1CC(F)CCC1Cl,-112.31,381.269,397.576,16.307000000000016
CC1C(C(=O)N2CCCC2)CNN1-C1CCC(F)CC1,-112.32,377.11,401.506,24.39599999999996
CN(C)C1CCC(NC(=O)C2CCCC(F)C2)CN1,-112.32,388.955,362.445,-26.50999999999999
O=C(NCC(=O)N1C2COCC1C2)C1CCCC(F)C1,-112.35,398.434,385.723,-12.711000000000013
COC1CC(F)CCC1NC(=O)C1CCCS1,-112.36,391.229,395.571,4.342000000000041
O=C(NC1CCCN(C2CCCC(F)C2)C1)C1CCOC1,-112.39,386.041,384.631,-1.410000000000025
CC1SC(=O)N(CC(=O)O)C1-C1CCC(F)CC1,-112.41,371.843,385.344,13.500999999999976
O=C(NC1CCCC(F)C1)N1CCN2CCC1CC2,-112.41,389.062,388.333,-0.728999999999985
CC(C)(O)C1CCCN1C(=O)C1CCC(F)C(Cl)C1,-112.46,371.021,383.282,12.260999999999967
CC1CCCNC1CNC(=O)C1CCCC(F)C1,-112.46,383.527,398.037,14.509999999999993
CC1CC(C(=O)NC2(C(=O)O)CC2)C(Cl)CC1F,-112.46,389.968,408.748,18.779999999999973
CC1CC(C(=O)NC2(CO)CCOC2)C(Cl)CC1F,-112.46,398.523,398.53,0.0069999999999481
CC(C)N1CCC(NC(=O)C2CCCC(F)C2)CC1,-112.47,381.335,381.33,-0.0049999999999954
CC1(NC(=O)NC2CCCC(F)C2)CCS(=O)(=O)C1,-112.47,390.712,389.241,-1.4710000000000036
O=C(C1CN(CC2CCCC(F)C2)NN1)N1CCCCC1,-112.49,371.537,387.4,15.863
CN(CC1CCC(F)CC1Cl)C(=O)[C@@H]1CCCCN1.Cl,-112.51,378.856,396.221,17.36500000000001
CCN1CC(NC(=O)NC2CCCC(F)C2)CN1,-112.51,389.18,397.187,8.007000000000005
O=C(NC1CCCCNC1=O)C1CCCC(F)C1,-112.51,391.295,398.048,6.752999999999986
O=C1CN(CC2CCC(F)CC2Cl)CCN1,-112.52,387.772,384.851,-2.9209999999999923
O=C(NCC1CCCO1)NC1CCCC(F)C1,-112.52,397.06,388.906,-8.153999999999996
O=C(NCC1NCC[NH]1)NC1CCCC(F)C1,-112.52,397.261,389.05,-8.211000000000013
