feature,importance
MACCS_144,0.00032007101857727975
Morgan_249,0.00031974135500259076
Morgan_507,0.00031972587951747353
Morgan_261,0.00031766961775119864
Morgan_985,0.00031469253930218834
Morgan_991,0.0003127715481220118
Morgan_677,0.0003124475123619697
Morgan_324,0.0003100014415324656
Morgan_3,0.0003077105886168499
Morgan_54,0.00030673970719889704
MACCS_84,0.000304487750584792
Morgan_131,0.0003010750191339214
Morgan_590,0.0002978149119489289
MACCS_38,0.0002949882067699712
MACCS_123,0.0002939448365421449
ECFP_F_834,0.00029259156636748793
Morgan_602,0.00029025868926676974
ECFP_F_56,0.00028969424427254437
Morgan_675,0.0002876796394644699
Morgan_452,0.0002868752689702183
Morgan_808,0.0002867256533681698
ECFP_F_397,0.00028602084440937695
Morgan_382,0.0002850434384549408
MACCS_36,0.00028225350949244844
Morgan_280,0.0002818773952581786
Morgan_920,0.0002807789775144187
Morgan_1013,0.0002801269670358213
MACCS_114,0.0002797153426614579
Morgan_810,0.00027928964985328105
Morgan_965,0.00027912072509328657
ECFP_F_968,0.00027863107809996806
Morgan_586,0.00027854161560168046
Morgan_242,0.0002783652947061618
Morgan_51,0.000277968952856673
Morgan_102,0.0002771770549570808
MACCS_81,0.0002765091068676364
Morgan_695,0.00027160006296504896
MACCS_22,0.00027087894515483423
Morgan_130,0.0002693582433599155
Morgan_829,0.0002690650412675769
Morgan_447,0.0002676295593921997
ECFP_F_198,0.00026679697598258026
Morgan_1009,0.00026622659326638485
MACCS_119,0.0002657232157771805
ECFP_F_433,0.000264647099666534
Morgan_70,0.0002646466101249703
MACCS_60,0.0002638716583416647
Morgan_521,0.000263482541723162
Morgan_698,0.0002627317553838965
Morgan_725,0.0002578809673410421
Morgan_908,0.00025779645595222603
Morgan_119,0.00025775495164007806
MACCS_41,0.0002568694174150264
Morgan_794,0.0002551424743183685
ECFP_F_163,0.0002547847997988499
Morgan_764,0.0002543815209040731
MACCS_130,0.00025319103456004547
Morgan_789,0.0002526609870693785
Morgan_694,0.0002524278739100594
Morgan_649,0.00025183497957895836
Morgan_901,0.00025108222804833756
Morgan_149,0.0002498846184369863
Morgan_887,0.00024967027958282083
Morgan_306,0.00024955717522495555
Morgan_652,0.00024924135902757057
MACCS_67,0.00024793569235305956
ECFP_F_234,0.00024718062537601183
Morgan_622,0.0002460232714171015
MACCS_102,0.00024531761285730944
ECFP_F_555,0.00024432970097577336
MACCS_52,0.00024405599179109488
Morgan_790,0.0002428240751940953
Morgan_674,0.0002419396174465643
MACCS_47,0.0002411672732564285
Morgan_420,0.00024078478347458004
Morgan_69,0.0002406425249930241
Morgan_350,0.0002404431776901095
ECFP_F_331,0.00023918362666678725
Morgan_344,0.0002389797189772991
Morgan_31,0.00023870877522339464
Morgan_110,0.0002383546289620007
ECFP_F_308,0.0002381555907296282
ECFP_F_703,0.00023625791356650822
MACCS_32,0.00023548068782292583
ECFP_F_258,0.00023508713610403308
Morgan_446,0.00023502151594869766
Morgan_222,0.00023393764066404496
Morgan_171,0.00023300149755074316
Morgan_233,0.00023240209122225348
Morgan_665,0.0002323799268678298
Morgan_875,0.0002305048237126856
ECFP_F_654,0.00023017072096773197
ECFP_F_88,0.0002298243615779472
ECFP_F_687,0.00022970424071688307
ECFP_F_73,0.0002289791572990779
MACCS_73,0.00022886754052374846
Morgan_755,0.00022774318841561395
Morgan_912,0.0002273550620144282
Morgan_841,0.00022624009462554682
Morgan_436,0.0002254954798305575
MACCS_46,0.0002254231811678671
Morgan_897,0.00022420576816133982
Morgan_862,0.00022281260409192887
Morgan_453,0.00022218308583818702
ECFP_F_237,0.00022128661355897604
ECFP_F_10,0.00022028387677214506
Morgan_440,0.00021691415533208193
Morgan_981,0.00021690217602971442
Morgan_937,0.0002167543483651906
ECFP_F_901,0.00021597825629096927
Morgan_591,0.00021558848681792843
Morgan_892,0.00021431908986671214
Morgan_266,0.0002139067908651635
Morgan_265,0.00021356167323544013
Morgan_998,0.00021324061965053237
ECFP_F_795,0.00021208548538016806
Morgan_883,0.00021160110956539992
Morgan_922,0.00021092605018708952
ECFP_F_783,0.00020961470516319322
Morgan_209,0.00020912312127501688
Morgan_37,0.0002089502979355224
ECFP_F_511,0.0002079061560902495
Morgan_385,0.00020781319966673833
Morgan_394,0.0002077497871573409
Morgan_371,0.00020742386941800746
MACCS_146,0.00020732850794292403
Morgan_492,0.00020700904155209802
MACCS_61,0.00020686573417952913
Morgan_363,0.000206363354384256
ECFP_F_59,0.00020559350570314297
Morgan_701,0.0002054771582405886
ECFP_F_726,0.00020469118113315314
