mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_bootstrap,param_ccp_alpha,param_criterion,param_max_depth,param_max_features,param_max_samples,param_min_impurity_decrease,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,rank_test_score,rf_branch,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
25.571568298339844,3.1137128829956056,-5.499868720987804,-4.01779011795569,True,1e-05,squared_error,80.0,,0.9,1e-06,4,20,200,"{'n_estimators': 200, 'min_samples_split': 20, 'min_samples_leaf': 4, 'min_impurity_decrease': 1e-06, 'max_samples': 0.9, 'max_features': None, 'max_depth': 80, 'criterion': 'squared_error', 'ccp_alpha': 1e-05, 'bootstrap': True}",23,bootstrap_true,-6.082532738648343,-3.8962982379092783,-5.169491494626896,-3.980880797251073,-5.474840173111869,-3.9993150281339007,-5.381310688859232,-4.087037045160367,-5.391168509692682,-4.125419481323832,2.1057626140884467,0.2886685727196833,0.3082676240868733,0.0810470488078776
179.38653712272645,10.755680513381956,-17.440902616211105,-16.94788278468397,True,1e-07,absolute_error,40.0,log2,0.5,0.0,4,20,1600,"{'n_estimators': 1600, 'min_samples_split': 20, 'min_samples_leaf': 4, 'min_impurity_decrease': 0.0, 'max_samples': 0.5, 'max_features': 'log2', 'max_depth': 40, 'criterion': 'absolute_error', 'ccp_alpha': 1e-07, 'bootstrap': True}",89,bootstrap_true,-18.4329164643285,-16.866230529711842,-16.839450089928043,-16.99583272433972,-17.445563601618694,-16.81655333695977,-17.978546446814892,-16.91557213932212,-16.50803647836539,-17.14522519308639,44.36219395589106,1.7792067632825068,0.7078359217699286,0.1150666895781165
505.5929216861725,4.009442043304444,-7.1825345453372815,-6.441547358329201,True,1e-05,absolute_error,40.0,0.8,0.9,1e-05,16,50,800,"{'n_estimators': 800, 'min_samples_split': 50, 'min_samples_leaf': 16, 'min_impurity_decrease': 1e-05, 'max_samples': 0.9, 'max_features': 0.8, 'max_depth': 40, 'criterion': 'absolute_error', 'ccp_alpha': 1e-05, 'bootstrap': True}",60,bootstrap_true,-8.288970623501196,-6.376789469537812,-7.19632916666666,-6.463794864195678,-7.01558965827337,-6.486472340186065,-6.537330513822103,-6.299628029394119,-6.874452764423081,-6.581052088332336,22.37444390821629,1.5133477409039298,0.5938795009043253,0.0962387191222619
54.55011587142944,5.360529088973999,-5.247422319539924,-3.545935251899073,True,0.0,friedman_mse,60.0,0.8,0.9,0.0,2,20,400,"{'n_estimators': 400, 'min_samples_split': 20, 'min_samples_leaf': 2, 'min_impurity_decrease': 0.0, 'max_samples': 0.9, 'max_features': 0.8, 'max_depth': 60, 'criterion': 'friedman_mse', 'ccp_alpha': 0.0, 'bootstrap': True}",18,bootstrap_true,-5.866579048089932,-3.4637919188754944,-4.979480423032198,-3.559159542262432,-5.174003881369396,-3.5225533087718337,-5.100296316636489,-3.5612385303232004,-5.116751928571603,-3.6229329592624064,5.044838018262257,2.4343989843322813,0.3159933522346506,0.0522148667526372
738.5522694587708,1.7427879333496097,-6.919084486348413,-6.061896365935992,True,1e-05,absolute_error,80.0,,0.9,1e-07,16,20,1200,"{'n_estimators': 1200, 'min_samples_split': 20, 'min_samples_leaf': 16, 'min_impurity_decrease': 1e-07, 'max_samples': 0.9, 'max_features': None, 'max_depth': 80, 'criterion': 'absolute_error', 'ccp_alpha': 1e-05, 'bootstrap': True}",52,bootstrap_true,-8.217395063948837,-6.073503301320528,-6.857948860911247,-6.067900367647043,-6.67492447042365,-6.054218907563016,-6.282763741987168,-5.9555037817436505,-6.562390294471161,-6.15835547140572,12.943191741305574,0.5307889232496016,0.6754401335731444,0.0645808847133275
140.44401488304138,3.279874038696289,-7.106734282333747,-6.267981176828859,True,0.0,absolute_error,20.0,0.6,0.9,1e-06,16,5,200,"{'n_estimators': 200, 'min_samples_split': 5, 'min_samples_leaf': 16, 'min_impurity_decrease': 1e-06, 'max_samples': 0.9, 'max_features': 0.6, 'max_depth': 20, 'criterion': 'absolute_error', 'ccp_alpha': 0.0, 'bootstrap': True}",56,bootstrap_true,-8.127604856115108,-6.210111239495796,-7.214251618705034,-6.238511914765904,-6.955411270983213,-6.329685714285716,-6.515080949519232,-6.212831208758247,-6.721322716346152,-6.348765806838631,8.107934446605375,0.9369888272435004,0.5612897827726401,0.0593169325239221
47.78906636238098,5.62063193321228,-8.585597643347594,-7.946089987943066,True,1e-07,squared_error,10.0,0.2,0.5,1e-06,2,50,400,"{'n_estimators': 400, 'min_samples_split': 50, 'min_samples_leaf': 2, 'min_impurity_decrease': 1e-06, 'max_samples': 0.5, 'max_features': 0.2, 'max_depth': 10, 'criterion': 'squared_error', 'ccp_alpha': 1e-07, 'bootstrap': True}",71,bootstrap_true,-9.295702745159645,-7.7335117951166,-8.416804384638493,-7.908625584614448,-8.993762762619193,-8.012107498181129,-8.425044910016123,-8.035635345675601,-7.796673414304521,-8.040569716127546,4.17873199762789,1.1055289591934634,0.5191373235949335,0.1165299715690595
80.60534152984619,5.509107303619385,-5.192698430687912,-3.207547216325711,True,0.0,friedman_mse,120.0,,0.9,1e-07,4,2,400,"{'n_estimators': 400, 'min_samples_split': 2, 'min_samples_leaf': 4, 'min_impurity_decrease': 1e-07, 'max_samples': 0.9, 'max_features': None, 'max_depth': 120, 'criterion': 'friedman_mse', 'ccp_alpha': 0.0, 'bootstrap': True}",17,bootstrap_true,-5.7196655236984375,-3.0864121203718238,-4.899462783512585,-3.1685988495731388,-5.140044537069278,-3.2378706439562635,-5.111251471405534,-3.2783328362267867,-5.093067837753726,-3.2665216315005425,5.973726932812973,0.6189789452765478,0.2767720204891605,0.0715524739442442
272.6218894481659,10.791176128387452,-5.652244113618711,-3.712540052632229,True,0.0,friedman_mse,40.0,0.4,0.5,1e-06,2,2,1600,"{'n_estimators': 1600, 'min_samples_split': 2, 'min_samples_leaf': 2, 'min_impurity_decrease': 1e-06, 'max_samples': 0.5, 'max_features': 0.4, 'max_depth': 40, 'criterion': 'friedman_mse', 'ccp_alpha': 0.0, 'bootstrap': True}",28,bootstrap_true,-6.322788136074465,-3.623247558279244,-5.523741164044838,-3.7211562038565926,-5.58207889329999,-3.724253324649324,-5.3562100395583,-3.6982718835565,-5.4764023351159645,-3.795771292819484,11.551321483963866,2.810438872323876,0.3434012103398927,0.0553454755927302
310.8188665866852,9.55288643836975,-10.674229575518634,-9.907303359923112,True,1e-07,absolute_error,80.0,sqrt,0.7,1e-05,4,50,1600,"{'n_estimators': 1600, 'min_samples_split': 50, 'min_samples_leaf': 4, 'min_impurity_decrease': 1e-05, 'max_samples': 0.7, 'max_features': 'sqrt', 'max_depth': 80, 'criterion': 'absolute_error', 'ccp_alpha': 1e-07, 'bootstrap': True}",75,bootstrap_true,-11.259264141187014,-9.787152676695635,-10.669330133393254,-9.802848979591806,-10.6335198965827,-10.018678303196245,-10.832096371694652,-9.946133445185918,-9.976937334735547,-9.981703394945962,29.824191579341203,0.4522260904134945,0.4135420462081638,0.0946513845355019
