mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_splitter,param_min_samples_split,param_min_samples_leaf,param_min_impurity_decrease,param_max_features,param_max_depth,param_criterion,param_ccp_alpha,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
5.149136543273926,0.3724749338830183,0.018381547927856446,0.0030299233420669398,random,100,4,0.0,,5,absolute_error,1e-07,"{'splitter': 'random', 'min_samples_split': 100, 'min_samples_leaf': 4, 'min_impurity_decrease': 0.0, 'max_features': None, 'max_depth': 5, 'criterion': 'absolute_error', 'ccp_alpha': 1e-07}",-9.929064748201439,-10.134964028776977,-8.847242206235013,-10.090384615384616,-9.940793269230769,-9.788489773565763,0.47751221268835686,57,-9.646368547418966,-9.909309723889553,-9.152250900360142,-9.565440911817637,-9.341397720455909,-9.52295356078844,0.25949585904063066
0.6680590152740479,0.10298147089764921,0.030697059631347657,0.001678032340641656,best,50,32,0.0001,0.2,50,absolute_error,1e-05,"{'splitter': 'best', 'min_samples_split': 50, 'min_samples_leaf': 32, 'min_impurity_decrease': 0.0001, 'max_features': 0.2, 'max_depth': 50, 'criterion': 'absolute_error', 'ccp_alpha': 1e-05}",-10.427326139088729,-9.866474820143884,-9.40984412470024,-10.819050480769231,-12.19625,-10.543789112940416,0.955462748173951,63,-9.341458583433372,-10.065852340936374,-8.71860144057623,-9.809466106778645,-11.811889622075585,-9.94945361876004,1.0379275581660514
0.3829806804656982,0.06408559957050969,0.03599138259887695,0.010097791396674011,best,2,16,0.0001,0.8,30,friedman_mse,1e-05,"{'splitter': 'best', 'min_samples_split': 2, 'min_samples_leaf': 16, 'min_impurity_decrease': 0.0001, 'max_features': 0.8, 'max_depth': 30, 'criterion': 'friedman_mse', 'ccp_alpha': 1e-05}",-6.800511371577575,-7.7491912268529815,-7.249034730220679,-7.3990653261668,-7.271729133220598,-7.293906357607726,0.3047249990721632,22,-5.492302947482542,-6.244225809966553,-6.173787571445192,-6.399930949936651,-6.292686221586712,-6.12058670008353,0.3226480718108549
0.11232247352600097,0.027837157677443245,0.030954360961914062,0.009292487294137427,random,5,4,1e-07,log2,5,squared_error,1e-05,"{'splitter': 'random', 'min_samples_split': 5, 'min_samples_leaf': 4, 'min_impurity_decrease': 1e-07, 'max_features': 'log2', 'max_depth': 5, 'criterion': 'squared_error', 'ccp_alpha': 1e-05}",-21.621253896090913,-23.701024127806278,-21.61375099923304,-23.897726412580916,-22.588990546777456,-22.68454919649772,0.9789134154020936,92,-22.262824202457857,-22.42617028799996,-22.832102624599166,-21.948956685790108,-22.795258588221728,-22.453062477813766,0.3322065778062221
0.5052499294281005,0.08075285563655393,0.044522571563720706,0.014704889672461115,random,5,4,0.0001,0.4,80,squared_error,0.0001,"{'splitter': 'random', 'min_samples_split': 5, 'min_samples_leaf': 4, 'min_impurity_decrease': 0.0001, 'max_features': 0.4, 'max_depth': 80, 'criterion': 'squared_error', 'ccp_alpha': 0.0001}",-7.1332780061664955,-7.420236981843096,-6.98527183967112,-6.84922146863553,-7.332138049450549,-7.144029269153359,0.2116160504744256,18,-4.024997856285371,-4.205840688656415,-4.002087206311096,-4.1240800268517726,-3.891860199388694,-4.04977319549867,0.10742704775301418
0.14095001220703124,0.02887407985045593,0.032750844955444336,0.010585844985903148,best,100,16,1e-07,sqrt,80,friedman_mse,1e-06,"{'splitter': 'best', 'min_samples_split': 100, 'min_samples_leaf': 16, 'min_impurity_decrease': 1e-07, 'max_features': 'sqrt', 'max_depth': 80, 'criterion': 'friedman_mse', 'ccp_alpha': 1e-06}",-18.453359654091166,-15.487962450214868,-17.444267208947245,-19.603150851985045,-20.322484802159945,-18.262244993479655,1.699698366769705,82,-17.16364849113735,-14.346110238015074,-15.91549219825483,-18.429727886035074,-21.012620784457727,-17.373519919580012,2.266880261761492
0.2002871036529541,0.04486958508852503,0.04104323387145996,0.011604621566636573,random,20,4,1e-07,log2,20,friedman_mse,1e-06,"{'splitter': 'random', 'min_samples_split': 20, 'min_samples_leaf': 4, 'min_impurity_decrease': 1e-07, 'max_features': 'log2', 'max_depth': 20, 'criterion': 'friedman_mse', 'ccp_alpha': 1e-06}",-18.65613009701421,-19.643888596686125,-20.063808187094523,-15.955019840312968,-20.304100206669084,-18.924589385555386,1.587997141818502,84,-18.600458618096166,-19.7090087427474,-20.261812061223186,-15.027731303842627,-19.64632855770766,-18.64906785672341,1.8886708947855855
0.36324367523193357,0.052220937328917874,0.04400844573974609,0.02180735394915289,random,100,16,1e-06,0.6,20,squared_error,1e-06,"{'splitter': 'random', 'min_samples_split': 100, 'min_samples_leaf': 16, 'min_impurity_decrease': 1e-06, 'max_features': 0.6, 'max_depth': 20, 'criterion': 'squared_error', 'ccp_alpha': 1e-06}",-8.19058786173043,-8.838648843838394,-8.458884925841433,-9.633589480774003,-9.283961117307017,-8.881134445898255,0.5263862033117095,42,-7.897050181486231,-8.90288583257387,-8.116403212807178,-9.32738209130625,-8.155392485478847,-8.479822760730475,0.5430086246157118
0.3480900764465332,0.08936360827517527,0.029962730407714844,0.0011302720761855363,random,100,1,1e-05,,5,squared_error,0.0,"{'splitter': 'random', 'min_samples_split': 100, 'min_samples_leaf': 1, 'min_impurity_decrease': 1e-05, 'max_features': None, 'max_depth': 5, 'criterion': 'squared_error', 'ccp_alpha': 0.0}",-10.403797688855251,-9.716510185404719,-10.086249514963805,-10.838808680068515,-10.634598812919753,-10.335992976442409,0.3981751577785588,61,-10.382141881450305,-9.77561404068615,-9.86090074080351,-10.49294787262769,-10.184762563626641,-10.13927341983886,0.2813821113299799
0.15624008178710938,0.019138245204206893,0.036074590682983396,0.01074180130787592,random,5,2,0.0,sqrt,5,squared_error,1e-06,"{'splitter': 'random', 'min_samples_split': 5, 'min_samples_leaf': 2, 'min_impurity_decrease': 0.0, 'max_features': 'sqrt', 'max_depth': 5, 'criterion': 'squared_error', 'ccp_alpha': 1e-06}",-18.046422328617112,-19.578778008173153,-15.10961406877129,-17.940516793210087,-17.571986055879314,-17.649463450930188,1.443702233163971,78,-17.585202641819155,-18.605868703169712,-14.607071492464177,-17.042294582153964,-18.24414016313802,-17.216915516549005,1.4115094853810781
0.48224654197692873,0.0883034196807231,0.030598163604736328,0.00249811202674272,random,2,32,1e-06,,10,squared_error,1e-07,"{'splitter': 'random', 'min_samples_split': 2, 'min_samples_leaf': 32, 'min_impurity_decrease': 1e-06, 'max_features': None, 'max_depth': 10, 'criterion': 'squared_error', 'ccp_alpha': 1e-07}",-10.083201058718823,-10.114708936089462,-8.307120857301229,-9.996706726072542,-9.517988383114217,-9.603945192259255,0.6832231463831492,55,-9.637547504170712,-9.810769432727582,-8.219644992305046,-9.398545657404547,-8.927342208542491,-9.198769959030075,0.5725972657611486
0.4614847183227539,0.08193121460795576,0.03621511459350586,0.008082112844047614,random,50,2,0.0,0.4,20,squared_error,1e-06,"{'splitter': 'random', 'min_samples_split': 50, 'min_samples_leaf': 2, 'min_impurity_decrease': 0.0, 'max_features': 0.4, 'max_depth': 20, 'criterion': 'squared_error', 'ccp_alpha': 1e-06}",-7.158096744473691,-7.952860731481018,-7.571178120278039,-7.7536198314861355,-7.773485777738319,-7.641848241091441,0.27039226139364203,28,-6.412211236821164,-6.908946223962187,-6.678241926091681,-6.428078625216126,-5.832753929882442,-6.45204638839472,0.35933447459392237
