SMILES,shift_value,shielding_value,reg_class,reg_prob,priority_class,residual_to_target_line
CCN(CC)C(F)(F)F,-59.0,271.113,0,0.805626546237892,1,9.1702362057394
CN1CCC(NC(=O)C2CCCCC2C(F)(F)F)N1,-59.08,280.7993333,0,0.8336232010924332,1,17.89064452482775
CNC1CCC(OC(F)(F)F)CN1,-59.17,265.8943333,0,0.8012392129672831,1,4.2588757322948965
O=C(O)CC1CC(C(F)(F)F)CO1,-59.35,279.368,0,0.8300177266900358,1,16.32022288016801
CC1=C(C(F)(F)F)SC(Cl)=N1,-59.4,259.2116667,0,0.805889133019012,1,2.0425852549430417
CN(C)C(=O)C1C[NH]C(C(F)(F)F)C1,-59.53,283.888,0,0.8493418112969717,1,20.246817643150138
FC(F)(F)C1=CC=CC=C1C(F)(F)F,-59.6,267.4843333,0,0.8035993846215602,1,5.273452208653644
NC1CCC(C(F)(F)F)CC1N,-59.62,285.048,0,0.8550514907402881,1,21.21072249382696
CC1CCCC(C(=O)N2CCC(O)(C(F)(F)F)C2)C1C,-59.62,289.089,0,0.8738664871070576,1,24.88212723657273
O=C(C1CCCCC1C(F)(F)F)N1CCSCC1,-59.66,271.5033333,0,0.8094174476126041,1,8.864869100783096
CN1NC(C(=O)O)C(Cl)C1C(F)(F)F,-59.85,281.5236667,0,0.8413216574540698,1,17.778729424627066
CN1[NH]C(C(F)(F)F)C(-C2CCC(Cl)CC2)C1=N,-59.9,285.7413333,0,0.8599240833585181,1,21.56064260417677
O=C(CC1CCCCC1C(F)(F)F)N1CCCNCC1,-59.95,279.9986667,0,0.8358504770698987,1,16.293207961452808
FC(F)(F)C1CNC2[NH]NNC2C1,-59.97,283.226,0,0.8491449403144903,1,19.205365047332837
O=C1[NH]CNC2C(C(F)(F)F)CCCC12,-59.99,279.5383333,0,0.8343149146925279,1,15.83497726904887
CCCCCCCCCCOC(F)(F)F,-60.0,266.0043333,0,0.8036758715276932,1,3.5288149853763
FC(F)(F)C1=NC=CS1,-60.0,266.0266667,0,0.8036880460790585,1,3.549105742783325
FC(F)(F)C1=CSC=C1,-60.0,266.9433333,0,0.8043063475541605,1,4.381932791225921
FC(F)(F)C1=CC=CC2=CC=CC=C21,-60.0,267.6273333,0,0.8049178876071493,1,5.003373237659474
[H]C1=C(C)ON=C1C(F)(F)F,-60.0,268.448,0,0.8058195707744887,1,5.748980665175793
FC(F)(F)C1=NNC2=CC=CC=C21,-60.0,268.745,0,0.8061906963292622,1,6.018816648495658
CN(C1=CC=CC=C1)C(F)(F)F,-60.0,268.931,0,0.806435168678172,1,6.187804840069703
[H]C1=C(C(F)(F)F)N=NN1C1=CC=CC=C1,-60.0,269.5176667,0,0.8072667189283963,1,6.720814220121923
[H]/C(=C(/C)C(=O)C1=CC=CC=C1)C(F)(F)F,-60.0,269.9036667,0,0.8078635782438719,1,7.071510144571249
N#CC(F)F,-60.0,324.6195,0,0.9903421801734296,0,56.782960251204656
CC1C(NC(=O)C2CCOC2)CCCC1C(F)(F)F,-60.07,279.283,0,0.8337727614974665,1,15.522997093696029
CC1(C)NC(=O)N(CC2CCCCC2C(F)(F)F)C1=O,-60.11,277.3023333,0,0.8269409267552449,1,13.683484815502837
CC1(C)CN(C(=O)C2CCNCC2C(F)(F)F)CCO1,-60.22,273.0353333,0,0.8149676101783633,1,9.696750334607998
Cl.FC(F)(F)OCC1CCNCC1,-60.24,267.2086667,0,0.8050968756612585,1,4.382998444076385
FC(F)(F)C1=CC(C(F)(F)F)=C(C(F)(F)F)C=C1C(F)(F)F,-60.3,267.4708333,0,0.8054840868481709,1,4.561186936684536
O=C(NC1CCCNC1)NC1CCCCC1C(F)(F)F,-60.44,278.063,0,0.8310697871622424,1,14.04457992315659
CC(=O)NC1CC(C)NN1-C1CCCCC1C(F)(F)F,-60.5,277.15,0,0.8281412633632037,1,13.155084122580774
O=C(C1CCNCC1C(F)(F)F)N1CCC2(CCC2)C1,-60.5,280.3476667,0,0.8399602349487788,1,16.060287955320234
[H]/C(=C(/[H])C(F)(F)F)C(F)(F)F,-60.6,267.9143333,0,0.8065763875042797,1,4.664123834335577
O=C1NCCN2CNC(C(F)(F)F)C21,-60.63,283.4796667,0,0.8537249199634444,1,18.775831052147677
CN1CC(N)C(C(F)(F)F)N1,-60.66,277.1376667,0,0.8287347270527455,1,12.98387884267143
CNC(=O)[C@@H]1CSCN1C1CCC(C(F)(F)F)CN1,-60.67,280.215,0,0.8401963806293091,1,15.769755128894973
CN1C(=O)CNC2CCC(C(F)(F)F)CC21,-60.7,284.4533333,0,0.8584015981309358,1,19.59044480445975
COC1(C)CN(C(=O)NC2CCCCC2C(F)(F)F)C1,-60.71,279.039,0,0.835801639440357,1,14.66131365958811
CCN1NCC(C(=O)N2CC[C@@H](N)C2)C1C(F)(F)F.Cl,-60.84,271.0616667,0,0.8123155949457903,1,7.283597917919337
