Model,SearchTag,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_estimators,param_min_samples_split,param_min_samples_leaf,param_min_impurity_decrease,param_max_samples,param_max_features,param_max_depth,param_criterion,param_ccp_alpha,param_bootstrap,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
RandomForest,bootstrap_true,48.62091517448425,5.036526713992544,5.8515458583831785,0.81262473339102,200,20,4,1e-06,0.9,,80,squared_error,1e-05,True,"{'n_estimators': 200, 'min_samples_split': 20, 'min_samples_leaf': 4, 'min_impurity_decrease': 1e-06, 'max_samples': 0.9, 'max_features': None, 'max_depth': 80, 'criterion': 'squared_error', 'ccp_alpha': 1e-05, 'bootstrap': True}",-8.171950713517907,-7.581047184293311,-7.4540376522154235,-7.076771571651009,-7.757898260624145,-7.60834107646036,0.35976209251274316,7,-5.670344667734516,-5.553877374550731,-5.676756350399755,-5.653525787534857,-5.661154081293748,-5.6431316523027215,0.04532182834352057
RandomForest,bootstrap_true,193.2378635406494,17.432784739755295,10.283061122894287,1.0186200044975782,1600,20,4,0.0,0.5,log2,40,absolute_error,1e-07,True,"{'n_estimators': 1600, 'min_samples_split': 20, 'min_samples_leaf': 4, 'min_impurity_decrease': 0.0, 'max_samples': 0.5, 'max_features': 'log2', 'max_depth': 40, 'criterion': 'absolute_error', 'ccp_alpha': 1e-07, 'bootstrap': True}",-19.058992191247007,-17.422365430155867,-18.103112732314123,-18.606010524338934,-17.07493569711536,-18.05308331503426,0.7313907192974628,46,-17.518202635429162,-17.571864143157267,-17.471587486869726,-17.48230312125074,-17.710959328134354,-17.550983342968248,0.08731961206275043
RandomForest,bootstrap_true,541.9895037651062,12.67598943023644,3.1386695861816407,0.6846632463371709,800,50,16,1e-05,0.9,0.8,40,absolute_error,1e-05,True,"{'n_estimators': 800, 'min_samples_split': 50, 'min_samples_leaf': 16, 'min_impurity_decrease': 1e-05, 'max_samples': 0.9, 'max_features': 0.8, 'max_depth': 40, 'criterion': 'absolute_error', 'ccp_alpha': 1e-05, 'bootstrap': True}",-9.837887350119905,-10.012471627697847,-9.113488744004789,-9.037533173076923,-9.11541176382212,-9.423358531744316,0.4143911402783861,31,-8.501204614345745,-8.669079940726293,-8.661688404111638,-8.758738673515296,-8.719024613827239,-8.661947249305241,0.08776735420741785
RandomForest,bootstrap_true,90.20655226707458,9.183423294573917,6.28457293510437,0.985358221937232,400,20,2,0.0,0.9,0.8,60,friedman_mse,0.0,True,"{'n_estimators': 400, 'min_samples_split': 20, 'min_samples_leaf': 2, 'min_impurity_decrease': 0.0, 'max_samples': 0.9, 'max_features': 0.8, 'max_depth': 60, 'criterion': 'friedman_mse', 'ccp_alpha': 0.0, 'bootstrap': True}",-7.7872130226426535,-7.102718615672986,-7.2227555879784955,-6.914832802101904,-7.466373098363222,-7.2987786253518525,0.3027505549585717,3,-4.87265193923434,-4.843242027790925,-4.840597559272382,-4.868388727853637,-4.9147947095072055,-4.867934992731699,0.026740853770436054
RandomForest,bootstrap_true,796.7808786869049,10.31437306084486,2.5056875705718995,0.42600357185705834,1200,20,16,1e-07,0.9,,80,absolute_error,1e-05,True,"{'n_estimators': 1200, 'min_samples_split': 20, 'min_samples_leaf': 16, 'min_impurity_decrease': 1e-07, 'max_samples': 0.9, 'max_features': None, 'max_depth': 80, 'criterion': 'absolute_error', 'ccp_alpha': 1e-05, 'bootstrap': True}",-9.702907164268593,-9.721675699440427,-8.959732004396468,-8.640922345753205,-8.965127393830125,-9.198072921537763,0.43600556359312775,29,-8.170255649759909,-8.268701450580224,-8.230196623649448,-8.383611310237953,-8.276873280343931,-8.265927662914294,0.06986670530988238
RandomForest,bootstrap_true,156.74840846061707,5.948815324829816,4.750354671478272,0.3589202660654805,200,5,16,1e-06,0.9,0.6,20,absolute_error,0.0,True,"{'n_estimators': 200, 'min_samples_split': 5, 'min_samples_leaf': 16, 'min_impurity_decrease': 1e-06, 'max_samples': 0.9, 'max_features': 0.6, 'max_depth': 20, 'criterion': 'absolute_error', 'ccp_alpha': 0.0, 'bootstrap': True}",-9.722865587529972,-9.968280815347722,-9.09153938848921,-8.98124140625,-9.180183413461544,-9.38882212221569,0.3861053194026333,30,-8.35307584033613,-8.488156782713084,-8.453453226290517,-8.600280068986198,-8.526036097780445,-8.484200403221275,0.0817060670489765
RandomForest,bootstrap_true,50.755187797546384,2.3155943808417137,6.1192432880401615,0.732583981597079,400,50,2,1e-06,0.5,0.2,10,squared_error,1e-07,True,"{'n_estimators': 400, 'min_samples_split': 50, 'min_samples_leaf': 2, 'min_impurity_decrease': 1e-06, 'max_samples': 0.5, 'max_features': 0.2, 'max_depth': 10, 'criterion': 'squared_error', 'ccp_alpha': 1e-07, 'bootstrap': True}",-10.558681718913673,-10.318590973534013,-10.207091882137377,-10.067752247554425,-9.67442451993436,-10.16530826841477,0.29341716423893405,37,-9.28247791939484,-9.444494881000553,-9.449067236483499,-9.499821250174735,-9.476675423126979,-9.43050734203612,0.0766664730749377
RandomForest,bootstrap_true,94.1538658618927,2.6564940670956028,5.698893356323242,0.5037936602397418,400,2,4,1e-07,0.9,,120,friedman_mse,0.0,True,"{'n_estimators': 400, 'min_samples_split': 2, 'min_samples_leaf': 4, 'min_impurity_decrease': 1e-07, 'max_samples': 0.9, 'max_features': None, 'max_depth': 120, 'criterion': 'friedman_mse', 'ccp_alpha': 0.0, 'bootstrap': True}",-7.84892407607517,-7.270119778474435,-7.225080724806852,-6.911142375697038,-7.484157970403701,-7.347884985091438,0.3103169082678481,4,-4.708116167801853,-4.579578182911907,-4.730748281246125,-4.711476462700204,-4.691581458514947,-4.684300110635007,0.053819868852788
RandomForest,bootstrap_true,253.18801589012145,5.0712806274650735,11.049515008926392,2.456294041640158,1600,2,2,1e-06,0.5,0.4,40,friedman_mse,0.0,True,"{'n_estimators': 1600, 'min_samples_split': 2, 'min_samples_leaf': 2, 'min_impurity_decrease': 1e-06, 'max_samples': 0.5, 'max_features': 0.4, 'max_depth': 40, 'criterion': 'friedman_mse', 'ccp_alpha': 0.0, 'bootstrap': True}",-8.130013590506918,-7.52815835481884,-7.593317911965153,-7.27753447048859,-7.575579364799769,-7.620920738515855,0.27875160162814827,8,-4.9736512283770145,-4.999088612447058,-5.022676408948845,-5.071659790940242,-5.002050332794445,-5.013825274701522,0.032841882757941046
RandomForest,bootstrap_true,319.24667754173277,18.69807737816017,8.706852960586549,1.9030611167317089,1600,50,4,1e-05,0.7,sqrt,80,absolute_error,1e-07,True,"{'n_estimators': 1600, 'min_samples_split': 50, 'min_samples_leaf': 4, 'min_impurity_decrease': 1e-05, 'max_samples': 0.7, 'max_features': 'sqrt', 'max_depth': 80, 'criterion': 'absolute_error', 'ccp_alpha': 1e-07, 'bootstrap': True}",-11.936881789568314,-11.319597482014354,-11.16763307853714,-11.542224511718683,-10.744555040564867,-11.342178380480673,0.39542893551736596,39,-10.475334217436938,-10.427135545468149,-10.653768834408728,-10.607366200509853,-10.658789252774394,-10.564478810119613,0.09541113879988916
